Datum,close_price,open_price,high_price,low_price,rsi,mfi,tv,sma,williams,regrs,cci,is_in_time,time
30.03.2022 12:35:08,1.112000,1.114000,1.114000,1.112000,58.0,71.494342,1.000000,1.107000,-20.000000,0.891038,121.675774,1.0,12.0
30.03.2022 15:58:00,1.116000,1.114000,1.116000,1.114000,62.2,78.608270,1.000000,1.108286,-0.000000,0.882137,151.059467,1.0,15.0
31.03.2022 03:25:38,1.118000,1.116000,1.118000,1.116000,64.1,85.697729,1.000000,1.109857,-0.000000,0.895199,166.134185,0.0,3.0
31.03.2022 10:06:37,1.114000,1.116000,1.116000,1.114000,57.8,78.542024,1.000000,1.110857,-22.222222,0.819455,118.975904,1.0,10.0
31.03.2022 10:43:22,1.112000,1.114000,1.114000,1.112000,54.9,71.405922,1.000000,1.111571,-37.500000,0.642775,87.760493,1.0,10.0
31.03.2022 12:30:56,1.110000,1.112000,1.112000,1.110000,52.0,64.283879,1.000000,1.112000,-57.142857,0.337305,57.851240,1.0,12.0
31.03.2022 15:12:44,1.108000,1.110000,1.110000,1.108000,49.3,57.170385,1.000000,1.112143,-83.333333,0.045687,29.631681,1.0,15.0
31.03.2022 16:57:44,1.112000,1.110000,1.112000,1.110000,54.5,57.181386,1.000000,1.112429,-60.000000,0.000969,58.775062,1.0,16.0
31.03.2022 18:33:41,1.108000,1.110000,1.110000,1.108000,49.1,50.059937,1.000000,1.112286,-100.000000,0.061123,24.316940,0.0,18.0
01.04.2022 02:35:20,1.106000,1.108000,1.108000,1.106000,46.6,42.936063,1.000000,1.111857,-100.000000,0.193986,-1.908397,0.0,2.0
01.04.2022 14:31:37,1.104000,1.106000,1.106000,1.104000,44.2,42.947098,1.000000,1.111571,-100.000000,0.571414,-28.835386,1.0,14.0
04.04.2022 10:06:02,1.102000,1.104000,1.104000,1.102000,41.9,35.826333,1.000000,1.110857,-100.000000,0.750913,-57.249712,1.0,10.0
04.04.2022 13:40:30,1.100000,1.102000,1.102000,1.100000,39.6,28.692146,1.000000,1.109857,-100.000000,0.832617,-85.031001,1.0,13.0
04.04.2022 16:31:18,1.098000,1.100000,1.100000,1.098000,37.5,21.538990,1.000000,1.108571,-100.000000,0.857664,-108.829569,1.0,16.0
